Reference;R;G;B;Opacity;cms;isMoT
0.832666665834;0.26454410211315227;0.4467648014660706;0.7889075629846964;1;false;false
0.832999999167;0.26439447216029055;0.4460021127907369;0.7885965294583779;1;false;false
0.8333333325;0.2642440921122073;0.4452394665477299;0.7882854720546446;1;false;false
0.833666665833;0.2640929618883371;0.4444768622825212;0.7879743907800519;1;false;false
0.833999999166;0.2639410814010506;0.443714299537255;0.7876632856411846;1;false;false
0.834333332499;0.26378845055564526;0.44295177785071654;0.7873521566446526;1;false;false
0.834666665832;0.26363506925032004;0.4421892967583075;0.7870410037970939;1;false;false
0.834999999165;0.26348093737615674;0.441426855792018;0.786729827105173;1;false;false
0.835333332498;0.263326054817102;0.44066445448039604;0.7864186265755817;1;false;false
0.835666665831;0.2631704214499444;0.4399020923485211;0.7861074022150396;1;false;false
0.835999999164;0.26301403714429383;0.43913976891797507;0.7857961540302933;1;false;false
0.836333332497;0.26285690176256243;0.4383774837068114;0.7854848820281164;1;false;false
0.83666666583;0.262699015159943;0.4376152362295279;0.7851735862153109;1;false;false
0.836999999163;0.262540377184382;0.436853025997036;0.7848622665987056;1;false;false
0.837333332496;0.26238098767656526;0.436090852516631;0.7845509231851571;1;false;false
0.837666665829;0.2622208464698876;0.435328715291961;0.7842395559815506;1;false;false
0.837999999162;0.26205995339043703;0.43456661382299744;0.7839281649947976;1;false;false
0.838333332495;0.26189830825696325;0.4338045476060039;0.783616750231839;1;false;false
0.838666665828;0.2617359108808606;0.43304251613350425;0.7833053116996428;1;false;false
0.838999999161;0.26157276106614064;0.4322805188942516;0.7829938494052054;1;false;false
0.839333332494;0.2614088586094074;0.4315185553731967;0.782682363355551;1;false;false
0.839666665827;0.2612442032998325;0.43075662505145496;0.7823708535577327;1;false;false
0.83999999916;0.2610787949191318;0.42999472740627426;0.7820593200188308;1;false;false
0.840333332493;0.2609126332415333;0.42923286191100335;0.7817477627459556;1;false;false
0.840666665826;0.26074571803375934;0.42847102803505593;0.781436181746244;1;false;false
0.840999999159;0.26057804905499204;0.42770922524388;0.7811245770268631;1;false;false
0.841333332492;0.2604096260568511;0.4269474529989223;0.7808129485950076;1;false;false
0.841666665825;0.26024044878336555;0.42618571075759426;0.7805012964579008;1;false;false
0.841999999158;0.26007051697094047;0.42542399797323843;0.7801896206227958;1;false;false
0.842333332491;0.25989983034833597;0.4246623140950919;0.7798779210969741;1;false;false
0.842666665824;0.25972838863663406;0.4239006585682524;0.7795661978877453;1;false;false
0.842999999157;0.25955619154920984;0.42313903083364196;0.7792544510024491;1;false;false
0.84333333249;0.2593832387916997;0.4223774303279716;0.7789426804484543;1;false;false
0.843666665823;0.2592095300619753;0.421615856483704;0.7786308862331581;1;false;false
0.843999999156;0.2590350650501105;0.42085430872901664;0.7783190683639876;1;false;false
0.844333332489;0.25885984343834756;0.42009278648776643;0.7780072268483993;1;false;false
0.844666665822;0.2586838649010706;0.41933128917944945;0.7776953616938789;1;false;false
0.844999999155;0.2585071291047681;0.4185698162191652;0.777383472907942;1;false;false
0.845333332488;0.2583296357080058;0.41780836701757723;0.7770715604981329;1;false;false
0.845666665821;0.2581513843613882;0.4170469409808745;0.7767596244720268;1;false;false
0.845999999154;0.2579723747075272;0.4162855375107324;0.7764476648372282;1;false;false
0.846333332487;0.25779260638101054;0.41552415600427295;0.7761356816013709;1;false;false
0.84666666582;0.2576120790083627;0.41476279585402465;0.7758236747721193;1;false;false
